State,District,Year,Season,Crop,Yield_per_Hectare,Area_Hectares,Production_Tonnes
Punjab,Ludhiana,2015,Kharif,Rice,7.47,4613.96,36586.6
Punjab,Ludhiana,2015,Kharif,Cotton,2.43,1913.11,6606.42
Punjab,Ludhiana,2015,Kharif,Sugarcane,84.7,3328.52,110563.16
Punjab,Ludhiana,2015,Kharif,Maize,7.44,2101.61,4407.58
Punjab,Ludhiana,2015,Kharif,Soybean,2.51,4893.04,2135.5
Punjab,Ludhiana,2015,Rabi,Wheat,6.74,3245.58,26163.67
Punjab,Ludhiana,2015,Rabi,Barley,2.9,1314.75,13654.54
Punjab,Ludhiana,2015,Rabi,Mustard,1.34,900.5,1615.88
Punjab,Ludhiana,2015,Rabi,Gram,0.74,3336.33,1212.52
Punjab,Ludhiana,2015,Rabi,Peas,1.72,2531.38,4351.54
Punjab,Ludhiana,2015,Zaid,Fodder,20.72,4953.84,37562.66
Punjab,Ludhiana,2015,Zaid,Vegetables,8.9,2920.43,29808.81
Punjab,Ludhiana,2015,Zaid,Watermelon,23.16,1734.28,72894.43
Punjab,Ludhiana,2015,Zaid,Cucumber,21.2,447.82,22720.22
Punjab,Ludhiana,2015,Zaid,Sugarcane,73.56,297.54,114864.26
Punjab,Ludhiana,2016,Kharif,Rice,2.84,4981.9,4105.03
Punjab,Ludhiana,2016,Kharif,Cotton,2.96,100.42,4229.53
Punjab,Ludhiana,2016,Kharif,Sugarcane,82.99,4797.97,177450.65
Punjab,Ludhiana,2016,Kharif,Maize,3.04,4933.58,14068.23
Punjab,Ludhiana,2016,Kharif,Soybean,3.61,2405.14,6041.26
Punjab,Ludhiana,2016,Rabi,Wheat,5.8,3953.5,18470.95
Punjab,Ludhiana,2016,Rabi,Barley,4.95,4281.33,24119.19
Punjab,Ludhiana,2016,Rabi,Mustard,1.27,4808.97,1160.64
Punjab,Ludhiana,2016,Rabi,Gram,1.41,1413.12,2792.75
Punjab,Ludhiana,2016,Rabi,Peas,2.7,4088.32,7649.17
Punjab,Ludhiana,2016,Zaid,Fodder,15.48,1796.95,57812.56
Punjab,Ludhiana,2016,Zaid,Vegetables,24.16,1672.71,101274.26
Punjab,Ludhiana,2016,Zaid,Watermelon,18.88,3133.86,63773.9
Punjab,Ludhiana,2016,Zaid,Cucumber,14.28,4616.94,4710.09
Punjab,Ludhiana,2016,Zaid,Sugarcane,88.05,347.83,13684.16
Punjab,Ludhiana,2017,Kharif,Rice,4.17,161.75,6782.6
Punjab,Ludhiana,2017,Kharif,Cotton,3.04,1453.83,577.18
Punjab,Ludhiana,2017,Kharif,Sugarcane,112.28,3963.46,311571.01
