State,Year,Month,Crop,Price_per_Quintal,Market
Punjab,2015,1,Rice,2713.65,Regional
Punjab,2015,1,Cotton,5008.33,Local
Punjab,2015,1,Sugarcane,330.04,Local
Punjab,2015,1,Maize,1449.93,Regional
Punjab,2015,1,Soybean,4854.76,Regional
Punjab,2015,1,Wheat,2228.46,Regional
Punjab,2015,1,Barley,1971.34,Regional
Punjab,2015,1,Mustard,4280.13,Local
Punjab,2015,1,Gram,5436.48,Export
Punjab,2015,1,Peas,4309.28,Regional
Punjab,2015,1,Fodder,839.68,Regional
Punjab,2015,1,Vegetables,1194.11,Export
Punjab,2015,1,Watermelon,514.57,Regional
Punjab,2015,1,Cucumber,1152.04,Export
Punjab,2015,2,Rice,1717.61,Local
Punjab,2015,2,Cotton,6733.91,Local
Punjab,2015,2,Sugarcane,428.08,Export
Punjab,2015,2,Maize,1948.17,Regional
Punjab,2015,2,Soybean,4378.63,Local
Punjab,2015,2,Wheat,1727.3,Local
Punjab,2015,2,Barley,1854.67,Export
Punjab,2015,2,Mustard,4372.23,Regional
Punjab,2015,2,Gram,7513.39,Export
Punjab,2015,2,Peas,3160.22,Local
Punjab,2015,2,Fodder,1041.25,Local
Punjab,2015,2,Vegetables,1438.67,Local
Punjab,2015,2,Watermelon,543.47,Regional
Punjab,2015,2,Cucumber,841.98,Regional
Punjab,2015,3,Rice,1629.59,Regional
Punjab,2015,3,Cotton,5420.28,Regional
Punjab,2015,3,Sugarcane,422.57,Export
Punjab,2015,3,Maize,2100.58,Regional
Punjab,2015,3,Soybean,4253.75,Export
Punjab,2015,3,Wheat,2043.15,Local
Punjab,2015,3,Barley,2290.72,Local
Punjab,2015,3,Mustard,6034.46,Regional
Punjab,2015,3,Gram,7239.2,Regional
Punjab,2015,3,Peas,4759.72,Export
Punjab,2015,3,Fodder,977.6,Export
Punjab,2015,3,Vegetables,1437.87,Export
Punjab,2015,3,Watermelon,594.2,Regional
Punjab,2015,3,Cucumber,1621.87,Export
Punjab,2015,4,Rice,2275.75,Local
