State,District,Year,Month,Rainfall_mm,Temperature_C,Humidity
Punjab,Ludhiana,2015,1,58.95,16.88,74.06
Punjab,Ludhiana,2015,2,6.48,21.73,47.48
Punjab,Ludhiana,2015,3,17.5,34.58,41.76
Punjab,Ludhiana,2015,4,16.97,30.39,76.14
Punjab,Ludhiana,2015,5,19.49,38.49,64.62
Punjab,Ludhiana,2015,6,179.88,32.15,59.6
Punjab,Ludhiana,2015,7,158.84,33.83,70.45
Punjab,Ludhiana,2015,8,204.5,29.23,56.72
Punjab,Ludhiana,2015,9,230.04,22.12,63.55
Punjab,Ludhiana,2015,10,24.31,29.21,72.15
Punjab,Ludhiana,2015,11,46.36,23.77,60.83
Punjab,Ludhiana,2015,12,75.53,24.05,72.41
Punjab,Ludhiana,2016,1,69.67,13.76,63.6
Punjab,Ludhiana,2016,2,33.18,12.13,58.73
Punjab,Ludhiana,2016,3,6.01,21.01,83.96
Punjab,Ludhiana,2016,4,12.47,30.63,71.23
Punjab,Ludhiana,2016,5,21.51,32.63,42.75
Punjab,Ludhiana,2016,6,193.74,30.19,55.77
Punjab,Ludhiana,2016,7,211.83,23.39,68.3
Punjab,Ludhiana,2016,8,285.58,24.12,76.93
Punjab,Ludhiana,2016,9,273.62,28.77,53.76
Punjab,Ludhiana,2016,10,53.72,26.05,51.46
Punjab,Ludhiana,2016,11,47.87,29.89,43.49
Punjab,Ludhiana,2016,12,20.67,21.5,52.6
Punjab,Ludhiana,2017,1,28.41,13.33,75.86
Punjab,Ludhiana,2017,2,23.49,21.96,54.86
Punjab,Ludhiana,2017,3,30.88,28.88,52.48
Punjab,Ludhiana,2017,4,32.29,40.2,70.08
Punjab,Ludhiana,2017,5,18.94,30.35,75.25
Punjab,Ludhiana,2017,6,297.82,29.28,76.15
Punjab,Ludhiana,2017,7,129.3,22.47,79.36
Punjab,Ludhiana,2017,8,164.67,33.44,42.35
Punjab,Ludhiana,2017,9,202.34,26.6,69.92
Punjab,Ludhiana,2017,10,32.9,27.51,45.28
Punjab,Ludhiana,2017,11,49.21,25.66,57.35
Punjab,Ludhiana,2017,12,43.21,16.05,63.49
Punjab,Ludhiana,2018,1,47.15,23.48,77.9
Punjab,Ludhiana,2018,2,38.21,24.29,77.51
Punjab,Ludhiana,2018,3,28.45,32.6,65.22
Punjab,Ludhiana,2018,4,19.6,39.05,70.84
Punjab,Ludhiana,2018,5,22.32,34.1,55.67
Punjab,Ludhiana,2018,6,105.06,33.12,60.97
Punjab,Ludhiana,2018,7,234.01,30.93,49.62
Punjab,Ludhiana,2018,8,211.96,34.97,82.27
Punjab,Ludhiana,2018,9,176.49,22.69,73.64
Punjab,Ludhiana,2018,10,10.75,26.63,63.67
Punjab,Ludhiana,2018,11,10.39,24.66,44.23
Punjab,Ludhiana,2018,12,35.82,15.3,81.47
Punjab,Ludhiana,2019,1,52.47,12.44,52.37
Punjab,Ludhiana,2019,2,19.15,12.57,71.3
Punjab,Ludhiana,2019,3,10.12,29.38,83.7
Punjab,Ludhiana,2019,4,32.93,40.08,81.74
Punjab,Ludhiana,2019,5,39.89,36.85,62.06
Punjab,Ludhiana,2019,6,194.69,40.25,73.78
Punjab,Ludhiana,2019,7,261.49,20.57,41.3
